m	u	d	attr1	attr2	attr3	attr4	attr5	attr6	attr7	match
1	2	32	.17289497	.034578994	.44604406	.30000001	.62678325	.1671318	.057594292	0
1	2	33	.13292699	.069157988	.534118	.2	.70544022	.16905285	.094138689	0
1	2	34	.12265069	.069157988	.50913656	.2	.66065335	.057631657	.10565485	0
1	3	1	0	.023991935	.076617181	.080000006	0	0	0	0
1	3	2	0	0	.15215932	0	0	.11995967	0	0
1	3	3	.0010566142	.09596774	.030801393	.096000008	.35904989	.035188168	.33749336	0
1	3	4	.014281473	.023991935	.27781478	.32000002	.60489017	.11596102	.36915815	0
1	3	5	.0017824996	.023991935	.3733336	.28	.26266578	0	.017888354	0
1	3	6	.02409596	0	.26123437	.80000001	.61383832	.11995967	.29294407	0
1	3	7	0	0	.11872004	.32000002	0	.11995967	0	0
1	3	8	.00025771078	0	.2809692	.32000002	.46126676	.11995967	.0029655448	0
1	3	9	.0028348188	.023991935	.079420976	.28000003	.63596749	.11596102	.46526396	1
1	3	10	.000042951797	0	.35540068	.16000001	0	.11995967	0	0
1	3	11	.018555176	0	.3539049	.80000001	.66367018	.11995967	.13198058	0
1	3	12	.003650903	.023991935	.35267824	.24000001	.5841229	0	.019535523	0
1	3	13	.026673065	0	.11492576	.80000001	.52822089	.11995967	.031299014	0
1	3	14	.0019757827	.023991935	.20386177	.12	.32540271	0	.25110665	0
1	3	15	0	0	.15699738	.16000001	0	.11995967	0	0
1	3	16	0	0	.11027504	0	0	.11995967	.16644078	0
1	3	17	.0013816163	.11995967	.19313198	.040000003	.35740009	.023192203	.38689655	0
1	3	18	.10482789	.04798387	.29015228	.14222223	.61871105	.07864023	.67470932	0
1	3	19	.0033502404	.023991935	.25535744	.24000001	.33456144	0	.0023524677	0
1	3	20	.01529084	.023991935	.31868815	.35999998	.61862934	.11596102	.06519147	0
1	3	21	.056954086	0	.17585035	.80000001	.64720452	.11995967	.052571911	0
1	3	22	.00037797584	.09596774	.14264123	.044800002	.19499002	0	.14677021	0
1	3	23	.047332883	.023991935	.17307551	.24000001	.52897435	.11596102	.83128136	0
1	3	24	.059015773	0	.24683744	.80000001	.55491143	.11995967	.8719753	0
1	3	25	.00081608415	0	.39024389	.16000001	.35429391	.11995967	0	0
1	3	26	.0024267766	.023991935	.19637124	.16000001	.33891389	0	.127775	0
1	3	27	.017782046	.023991935	.1965673	.32000002	.63950545	0	.073239148	0
1	3	28	.035579219	.023991935	.27997148	.32000002	.67768705	0	.40234107	0
1	3	29	0	0	.14512195	.16000001	0	.11995967	0	0
1	3	30	.0097500579	.023991935	.26966587	.12	.49917448	.11596102	.059906952	0
1	3	31	.015935117	.023991935	.24451312	.12	.55114108	.11596102	.092414066	0
1	3	32	.11995967	.023991935	.22104992	.24000001	.57539737	.11596102	.57266784	0
1	3	33	.092228696	.04798387	.26469746	.16000001	.64760578	.1172939	.56204206	0
1	3	34	.085098699	.04798387	.25231722	.16000001	.60649067	.039986558	.39378077	0
1	4	1	0	.035682429	.13198759	.1	0	0	0	0
1	4	2	0	0	.2621232	0	0	.17841214	0	0
1	4	3	.0015714681	.14272971	.053061228	.12	.42633629	.052334227	.011419896	0
